Author,Anand Sanwal
Title,"What's the most unsexy, ""boring"" business you've ever seen that makes a crap ton of money?  (riches in niches)"
Date,"7:15 AM · Jul 3, 2020·Twitter Web App"
Comment,261  Retweets and comments 1.4K  Likes
Conversations,
,Brent Beshore @BrentBeshore · Jul 4,"Replying to @asanwal
Quote Tweet
Brent Beshore @BrentBeshore
 · Jul 4
Multi-family housing framers pulling down $30M+ in FCF out of just one geography.

Founder: ""I got my start banging nails. I stopped doing that a while back and started hiring people. One thing lead to another and here we are."" twitter.com/asanwal/status
22",https://pbs.twimg.com/profile_images/1140592638413795328/AQQs0JWa_normal.png
,Sam Parr @theSamParr · Jul 3,"Replying to @asanwal
God, this thread is gonna get me all hot and bothered.
5
63",
,,This account owner limits who can view their Tweets. Learn more,
,Will Allred @WillAllred117 · Jul 3,"Replying to @asanwal
Firewood delivery... it's an ATM machine. 

Ton of work to get off the ground, but 
Literally...It's almost like your customers are lighting money on fire 
1
9",https://abs-0.twimg.com/emoji/v2/svg/1f525.svg
,Jason Dexter @iamjasondexter · Jul 4,"Worked with a company that owns the UK market offline pretty much. Insane margins. Biggest issue is getting the supply
2",
,RabbiJacob @RabbiJacob16 · Jul 4,"Replying to @asanwal
Pet cremation. Basically a pizza oven you can charge 500 USD for.
1
25",
,Arthur Sparks @arthur__sparks · Jul 4,Sounds delicious,
,Quinn @HansonQuinn22 · Jul 3,"Replying to @asanwal
Sidewalk leveling. 
Basically drill a hole in a concrete slab, pump more concrete into the hole until the whole slab is level.
13",
,Alison Murdock @svrocks · Jul 3,"Replying to @asanwal
These are the new unicorns. Even as a marketer Id say that finding a company that just does its job would be a dream
12",
,Pranesh Umashankar @PraneshUmashank · Jul 3,"Replying to @asanwal
Waste Management and McKeeson ( both part of Gates' portfolio).
14",
,sanjay jenkins @SanjayAtPlay · Jul 3,"Replying to @asanwal
Physical retail soap store.
1
1
5",
,just some guy @zshanlon · Jul 4,"Replying to @asanwal
Laundry bags to cleaners. Its crazy. I know one guy (sole proprietor) making $90k a month on them and its a very regional business.
1
1
16",
,Jason Dexter @iamjasondexter · Jul 4,"Online or offline sales?
1",
,Colin Hellbut @ColinHeilbut · Jul 5,"Replying to @asanwal
Color-changing cat litter (north of 100MM val)
1
3",
,Alison Murdock @svrocks · Jul 5,"Is that Pretty Litter?
1
2",
,Cathryn @cathrynlavery · Jul 3,"Replying to @asanwal @readwiseio
 save thread
1
3",
,Readwise @readwiseio · Jul 3,"Done! We've saved this whole thread to your Readwise library so that you can revisit/remember it 
3",https://abs-0.twimg.com/emoji/v2/svg/1f9e0.svg
,Bhaskar Sarma @bhas · Jul 3,"Replying to @asanwal
Look at #2 and #3:
Quote Tweet
Charlie Bilello @charliebilello
 · Jun 28
The top performing stocks in the S&P 500 over the last 20 years...

Data via @ycharts
2
17",https://pbs.twimg.com/profile_images/1207655488168574976/N0sQdj76_normal.png
,MikeHunt69vix @MikeHunt69vix · Jul 4,"damn $ATVI number 4, not bad!",
,Shomik Ghosh @shomikghosh21 · Jul 4,"Replying to @asanwal
Fire regulation inspection 

Window washing

Siracha (Huy Fong Foods)

Soy Sauce (Kikkoman)

So many other good ones
1
3",
,matt slotnick @matt_slotnick · Jul 4,"renting out those gigantic steel plates they put on the road when doing construction
3",
,Comic San @iComicSan · Jul 4,"Replying to @asanwal
Yoshida Kogyo Kabushikikaisha zippers

Think they own 40% of the global zipper market
1
5",
,Comic San @iComicSan · Jul 4,"Check the label on the zipper of your jeans. Might be YKK...  Thats them
2",
,Kumar @datarade · Jul 4,"Replying to @asanwal
Blue horse shoe crab blood harvesting.
1
2",
,Kumar @datarade · Jul 4,"Plastic conveyor belts - Intralox
5",
,Jeff McCarthy @McCarthy2020 · Jul 3,"Replying to @asanwal
Steelcase $SCS is boring now - but when cos start investing in cubicles again....
GIF
1
3",https://pbs.twimg.com/tweet_video_thumb/Eb9zOXhXQAQhPWo.jpg
,Saurabh Acharya @srbsach · Jul 3,"Replying to @asanwal
Branded education content distribution & (worthless) certification, esp in emerging economies.
1
11",
,Panagiotis Panagi @ppanagi · Jul 4,"An example?
1
1",
,Devil's Advocate IN @jaganmsna · Jul 3,"Replying to @asanwal
Mining of basic unprocessed Commodities - Oil, Coal, Bauxite, Iron Ore - Tonnes of money from very boring businesses.
8",
,Terry Flanagan @TM_Flanagan · Jul 3,"Replying to @asanwal
Credit ratings agencies, ie Moody's and S&P. Honorable mention: CFA Institute
7",
